promotionid,promotiondistrictid,promotionname,mediatype,cost,startdate,enddate
0,0,NoPromotion,NoMedia,0.0000,NULL,NULL
1,110,HighRollerSavings,ProductAttachment,14435.0000,1996-01-03,1996-01-06
2,110,GreenLightSpecial,ProductAttachment,8907.0000,1996-01-18,1996-01-20
3,110,WalletSavers,Radio,12512.0000,1996-02-02,1996-02-05
4,110,WeekendMarkdown,In-StoreCoupon,11256.0000,1996-02-13,1996-02-15
5,110,BagStuffers,SundayPaper|Radio,12275.0000,1996-02-28,1996-03-01
6,110,Save-ItSale,DailyPaper,9472.0000,1996-03-14,1996-03-16
7,110,FantasticDiscounts,SundayPaper|Radio|TV,14278.0000,1996-03-29,1996-04-02
8,110,PriceWinners,SundayPaper|Radio,14731.0000,1996-04-10,1996-04-13
9,110,DimesOff,DailyPaper,14065.0000,1996-04-26,1996-04-29
10,110,GreenLightSpecial,SundayPaper|Radio,9298.0000,1996-05-08,1996-05-09
11,110,DollarCutters,DailyPaper|Radio|TV,5306.0000,1996-05-24,1996-05-25
12,110,ThreeforOne,TV,14812.0000,1996-06-06,1996-06-09
13,110,PriceWinners,CashRegisterHandout,11674.0000,1996-06-19,1996-06-22
14,110,BigPromo,StreetHandout,14945.0000,1996-07-03,1996-07-07
15,110,Save-ItSale,SundayPaper|Radio,6842.0000,1996-07-18,1996-07-22
16,110,SaleWinners,SundayPaper|Radio,14615.0000,1996-08-02,1996-08-03
17,110,SavingsGalore,CashRegisterHandout,13694.0000,1996-08-16,1996-08-17
18,110,SuperSavers,DailyPaper|Radio,12346.0000,1996-08-27,1996-08-30
19,110,TipTopSavings,DailyPaper|Radio,8099.0000,1996-09-10,1996-09-13
20,110,SaleWinners,StreetHandout,11024.0000,1996-09-26,1996-09-28
21,110,PriceWinners,CashRegisterHandout,14976.0000,1996-10-10,1996-10-12
22,110,SuperDuperSavers,Radio,11665.0000,1996-10-24,1996-10-28
23,110,SuperDuperSavers,DailyPaper|Radio,13307.0000,1996-11-07,1996-11-10
24,110,BestSavings,SundayPaper,10597.0000,1996-11-21,1996-11-22
25,110,PriceWinners,StreetHandout,9422.0000,1996-12-04,1996-12-07
26,110,PriceWinners,ProductAttachment,12767.0000,1996-12-18,1996-12-21
27,110,PriceCutters,Radio,5611.0000,1997-01-02,1997-01-05
28,110,ShelfClearingDays,BulkMail,14609.0000,1997-01-15,1997-01-18
29,110,GreenLightSpecial,CashRegisterHandout,8307.0000,1997-01-30,1997-02-02
30,110,UnbeatablePriceSavers,In-StoreCoupon,8414.0000,1997-02-13,1997-02-16
31,110,YouSaveDays,DailyPaper|Radio,9802.0000,1997-02-28,1997-03-02
32,110,ICantBelieveItSale,ProductAttachment,7854.0000,1997-03-14,1997-03-15
33,110,ShelfEmptiers,DailyPaper,6425.0000,1997-03-28,1997-03-31
34,110,WalletSavers,CashRegisterHandout,11913.0000,1997-04-10,1997-04-14
35,110,MysterySale,DailyPaper,14502.0000,1997-04-23,1997-04-26
36,110,GoForIt,DailyPaper|Radio|TV,14263.0000,1997-05-09,1997-05-11
37,110,GoForIt,StreetHandout,14264.0000,1997-05-20,1997-05-23
38,110,DimesOff,Radio,7789.0000,1997-06-05,1997-06-07
39,110,DollarDays,SundayPaper,8924.0000,1997-06-19,1997-06-21
40,110,SuperSavers,BulkMail,10393.0000,1997-07-03,1997-07-06
41,110,MoneyGrabbers,SundayPaper|Radio|TV,8710.0000,1997-07-17,1997-07-19
42,110,TwoDaySale,BulkMail,7616.0000,1997-07-31,1997-08-04
43,110,GreenLightSpecial,DailyPaper,7296.0000,1997-08-14,1997-08-17
44,110,DoubleDownSale,DailyPaper|Radio,13130.0000,1997-08-27,1997-08-29
45,110,PriceSlashers,DailyPaper|Radio|TV,13664.0000,1997-09-09,1997-09-10
46,110,WeekendMarkdown,DailyPaper,10607.0000,1997-09-25,1997-09-28
47,110,SalesGalore,StreetHandout,12734.0000,1997-10-07,1997-10-08
48,110,DollarDays,DailyPaper,10277.0000,1997-10-23,1997-10-26
49,110,BagStuffers,BulkMail,5684.0000,1997-11-05,1997-11-06
50,110,TwoDaySale,In-StoreCoupon,8008.0000,1997-11-21,1997-11-23
51,110,PriceSmashers,SundayPaper,7433.0000,1997-12-03,1997-12-06
52,110,BigPromo,Radio,6686.0000,1997-12-18,1997-12-22
53,110,PriceSlashers,TV,6966.0000,1997-12-30,1998-01-01
54,110,TwoDaySale,Radio,7327.0000,1998-01-14,1998-01-17
55,110,PriceSlashers,StreetHandout,5297.0000,1998-01-28,1998-01-30
56,110,PriceCutters,StreetHandout,6258.0000,1998-02-10,1998-02-13
57,110,SaleWinners,DailyPaper|Radio|TV,8756.0000,1998-02-26,1998-03-02
58,110,PriceWinners,SundayPaper,11219.0000,1998-03-12,1998-03-15
59,110,PriceWinners,CashRegisterHandout,10390.0000,1998-03-26,1998-03-30
60,110,PriceDestroyers,ProductAttachment,13060.0000,1998-04-09,1998-04-12
61,110,PriceDestroyers,TV,10430.0000,1998-04-21,1998-04-22
62,110,SalesDays,ProductAttachment,14209.0000,1998-05-07,1998-05-10
63,110,DollarCutters,BulkMail,11926.0000,1998-05-21,1998-05-23
64,110,ByeByeBaby,TV,6305.0000,1998-06-03,1998-06-07
65,110,GreenLightSpecial,SundayPaper|Radio|TV,8548.0000,1998-06-18,1998-06-22
