productclassid,productid,brandname,productname,SKU,SRP,grossweight,netweight,recyclablepackage,lowfat,unitspercase,casesperpallet,shelfwidth,shelfheight,shelfdepth
30,1,Washington,WashingtonBerryJuice,90748583674,2.8500,8.39,6.39,0,0,30,14,16.9,12.6,7.4
52,2,Washington,WashingtonMangoDrink,96516502499,0.7400,7.42,4.42,0,1,18,8,13.4,3.71,22.6
52,3,Washington,WashingtonStrawberryDrink,58427771925,0.8300,13.1,11.1,1,1,17,13,14.4,11,7.77
19,4,Washington,WashingtonCreamSoda,64412155747,3.6400,10.6,9.6,1,0,26,10,22.9,18.9,7.93
19,5,Washington,WashingtonDietSoda,85561191439,2.1900,6.66,4.65,1,0,7,10,20.7,21.9,19.2
19,6,Washington,WashingtonCola,29804642796,1.1500,15.8,13.8,0,0,14,10,6.42,18.1,21.3
19,7,Washington,WashingtonDietCola,20191444754,2.6100,18,17,1,0,11,7,15,16.9,21
30,8,Washington,WashingtonOrangeJuice,89770532250,2.5900,8.97,6.97,1,0,27,7,7.56,11.8,8.92
30,9,Washington,WashingtonCranberryJuice,49395100474,2.4200,7.14,5.13,0,0,34,7,18.5,16.1,14.4
30,10,Washington,WashingtonAppleJuice,22114084362,1.4200,8.13,7.13,1,0,28,14,21.6,7.32,9.2
52,11,Washington,WashingtonAppleDrink,17074288725,3.5100,20,19,0,1,3,10,19.4,10.3,20.4
35,12,Jeffers,JeffersOatmeal,49031038880,1.5400,8.9,6.89,1,1,14,6,15.9,15.4,10.8
35,13,Jeffers,JeffersCornPuffs,13229009509,2.6500,10.4,7.39,0,0,20,10,18.2,10.3,14.6
35,14,Jeffers,JeffersWheatPuffs,92942813038,1.9300,21.6,20.6,1,1,33,10,7.73,6.94,8.01
35,15,Jeffers,JeffersGrits,26378549933,2.2900,21.3,20.2,0,1,14,9,8.96,18.3,12.4
62,16,BlueLabel,BlueLabelCannedBeets,62908702492,3.8300,21.2,18.2,0,1,31,10,19,21.9,9.39
62,17,BlueLabel,BlueLabelCreamedCorn,79484335780,2.9900,6.91,3.9,1,1,34,9,7.8,17.8,8.26
62,18,BlueLabel,BlueLabelCannedStringBeans,85252254605,2.6700,12.6,10.6,1,0,26,10,8.87,5.18,13.3
58,19,BlueLabel,BlueLabelChickenSoup,47163524031,3.1900,15.2,12.1,1,1,35,7,22.6,21.1,16.9
